epoch:00001 loss:0.10350717708468438
epoch:00002 loss:0.06456341959536076
epoch:00003 loss:0.05422229170799255
epoch:00004 loss:0.04834392428398132
epoch:00005 loss:0.04299076583236456
epoch:00006 loss:0.041216592900455
epoch:00007 loss:0.0393230440095067
epoch:00008 loss:0.038451902829110624
epoch:00009 loss:0.035426120534539224
epoch:00010 loss:0.03526528779417276
epoch:00011 loss:0.03368220530450344
epoch:00012 loss:0.033739479556679726
epoch:00013 loss:0.033026370666921136
epoch:00014 loss:0.03246832102537155
epoch:00015 loss:0.03364065486937761
epoch:00016 loss:0.0321396816521883
epoch:00017 loss:0.03104978233575821
epoch:00018 loss:0.032560384944081304
epoch:00019 loss:0.03148428618907929
epoch:00020 loss:0.03174077536910772
epoch:00021 loss:0.03127532862126827
epoch:00022 loss:0.029949764311313628
epoch:00023 loss:0.030966163724660874
epoch:00024 loss:0.03154952026903629
epoch:00025 loss:0.030540923587977886
epoch:00026 loss:0.02975273262709379
epoch:00027 loss:0.029738302528858184
epoch:00028 loss:0.03030510190874338
epoch:00029 loss:0.030208333432674407
epoch:00030 loss:0.029540831595659255
epoch:00031 loss:0.02979369878768921
epoch:00032 loss:0.030495118461549283
epoch:00033 loss:0.029503895938396453
epoch:00034 loss:0.029830417782068252
epoch:00035 loss:0.02957883931696415
epoch:00036 loss:0.02919091787189245
epoch:00037 loss:0.02843364492058754
epoch:00038 loss:0.02956671215593815
epoch:00039 loss:0.028673746176064014
epoch:00040 loss:0.02951897755265236
epoch:00041 loss:0.029436761029064656
epoch:00042 loss:0.029101673252880572
epoch:00043 loss:0.029954206272959708
epoch:00044 loss:0.028934460021555423
epoch:00045 loss:0.028212238289415836
epoch:00046 loss:0.028059356100857257
epoch:00047 loss:0.029311680868268013
epoch:00048 loss:0.028022638708353042
epoch:00049 loss:0.02839743737131357
epoch:00050 loss:0.029464768506586553
epoch:00051 loss:0.0281194082275033
epoch:00052 loss:0.02852846749126911
epoch:00053 loss:0.028225133623927832
epoch:00054 loss:0.027394989989697933
epoch:00055 loss:0.029176659360527993
epoch:00056 loss:0.029056321009993554
epoch:00057 loss:0.027484420761466025
epoch:00058 loss:0.028029140457510947
epoch:00059 loss:0.02789056356996298
epoch:00060 loss:0.0290327887237072
epoch:00061 loss:0.028747522830963136
epoch:00062 loss:0.028236125633120536
epoch:00063 loss:0.02801863446831703
epoch:00064 loss:0.027943210639059544
epoch:00065 loss:0.027875816375017168
epoch:00066 loss:0.02680188860744238
epoch:00067 loss:0.027319601103663445
epoch:00068 loss:0.02756557296961546
epoch:00069 loss:0.027032518722116948
epoch:00070 loss:0.027417109869420527
epoch:00071 loss:0.027716723047196867
epoch:00072 loss:0.027808078937232493
epoch:00073 loss:0.028219018317759036
epoch:00074 loss:0.02816100638359785
epoch:00075 loss:0.027691105641424657
epoch:00076 loss:0.02763193495571613
epoch:00077 loss:0.02789131544530392
epoch:00078 loss:0.02826725095510483
epoch:00079 loss:0.027807274013757707
epoch:00080 loss:0.028427787572145462
epoch:00081 loss:0.027254441827535628
epoch:00082 loss:0.028314146511256695
epoch:00083 loss:0.02760418124496937
epoch:00084 loss:0.028590884432196616
epoch:00085 loss:0.027703670784831047
epoch:00086 loss:0.027699099816381932
epoch:00087 loss:0.027181936167180537
epoch:00088 loss:0.027012445330619812
epoch:00089 loss:0.026144710704684257
epoch:00090 loss:0.027805657386779786
epoch:00091 loss:0.028813189566135405
epoch:00092 loss:0.026933854445815086
epoch:00093 loss:0.027282878272235394
epoch:00094 loss:0.027640068493783473
epoch:00095 loss:0.02757702339440584
epoch:00096 loss:0.027096104435622693
epoch:00097 loss:0.02737587280571461
epoch:00098 loss:0.02838798437267542
epoch:00099 loss:0.025874791368842125
epoch:00100 loss:0.026862902827560903
epoch:00101 loss:0.027658609263598918
epoch:00102 loss:0.026688584536314012
epoch:00103 loss:0.027788623161613943
epoch:00104 loss:0.02806127246469259
epoch:00105 loss:0.027947695143520832
epoch:00106 loss:0.027193495407700538
epoch:00107 loss:0.027336287535727023
epoch:00108 loss:0.027557035572826863
epoch:00109 loss:0.02641326928511262
epoch:00110 loss:0.026958943121135236
epoch:00111 loss:0.027119058091193436
epoch:00112 loss:0.027020467296242714
epoch:00113 loss:0.027600693460553886
epoch:00114 loss:0.027124677188694477
epoch:00115 loss:0.02695624053478241
epoch:00116 loss:0.02644725754857063
epoch:00117 loss:0.02697328045964241
