epoch:1,lr:4e-0500000000000000000000
epoch:2,lr:3.9998499839872514e-05000
epoch:3,lr:3.99939995963827e-0500000
epoch:4,lr:3.99864999801712e-0500000
epoch:5,lr:3.997600217551434e-050000
epoch:6,lr:3.9962507840137165e-05000
epoch:7,lr:3.994601910495167e-050000
epoch:8,lr:3.9926538573720286e-05000
epoch:9,lr:3.9904069322644714e-05000
epoch:10,lr:3.9878614899880166e-05000
epoch:11,lr:3.985017932497509e-050000
epoch:12,lr:3.981876708823638e-050000
epoch:13,lr:3.9784383150020375e-05000
epoch:14,lr:3.97470329399495e-0500000
epoch:15,lr:3.970672235605491e-050000
epoch:16,lr:3.9663457763845096e-05000
epoch:17,lr:3.96172459953007e-0500000
epoch:18,lr:3.956809434779569e-050000
epoch:19,lr:3.951601058294498e-050000
epoch:20,lr:3.946100292537882e-050000
epoch:21,lr:3.9403080061444e-05000000
epoch:22,lr:3.934225113783221e-050000
epoch:23,lr:3.9278525760135636e-05000
epoch:24,lr:3.9211913991330145e-05000
epoch:25,lr:3.914242635018622e-050000
epoch:26,lr:3.907007380960792e-050000
epoch:27,lr:3.899486779490014e-050000
epoch:28,lr:3.891682018196443e-050000
epoch:29,lr:3.8835943295423614e-05000
epoch:30,lr:3.875224990667564e-050000
epoch:31,lr:3.8665753231876784e-05000
epoch:32,lr:3.857646692985471e-050000
epoch:33,lr:3.848440509995155e-050000
epoch:34,lr:3.8389582279797446e-05000
epoch:35,lr:3.829201344301493e-050000
epoch:36,lr:3.8191713996854384e-05000
epoch:37,lr:3.8088699779761066e-05000
epoch:38,lr:3.7982987058874024e-05000
epoch:39,lr:3.787459252745736e-050000
epoch:40,lr:3.776353330226412e-050000
epoch:41,lr:3.7649826920833415e-05000
epoch:42,lr:3.7533491338721e-05000000
epoch:43,lr:3.7414544926663876e-05000
epoch:44,lr:3.72930064676794e-0500000
epoch:45,lr:3.7168895154099155e-05000
epoch:46,lr:3.7042230584538295e-05000
epoch:47,lr:3.691303276080071e-050000
epoch:48,lr:3.678132208472045e-050000
epoch:49,lr:3.664711935494013e-050000
epoch:50,lr:3.651044576362651e-050000
epoch:51,lr:3.6371322893124e-05000000
epoch:52,lr:3.622977271254666e-050000
epoch:53,lr:3.608581757430887e-050000
epoch:54,lr:3.593948021059576e-050000
epoch:55,lr:3.579078372977345e-050000
epoch:56,lr:3.563975161273999e-050000
epoch:57,lr:3.548640770921751e-050000
epoch:58,lr:3.533077623398597e-050000
epoch:59,lr:3.517288176305946e-050000
epoch:60,lr:3.50127492298053e-0500000
epoch:61,lr:3.485040392100682e-050000
epoch:62,lr:3.4685871472870224e-05000
epoch:63,lr:3.4519177866976416e-05000
epoch:64,lr:3.435034942617813e-050000
epoch:65,lr:3.41794128104433e-0500000
epoch:66,lr:3.400639501264509e-050000
epoch:67,lr:3.383132335429947e-050000
epoch:68,lr:3.365422548125079e-050000
epoch:69,lr:3.347512935930618e-050000
epoch:70,lr:3.329406326981945e-050000
epoch:71,lr:3.311105580522511e-050000
epoch:72,lr:3.292613586452331e-050000
epoch:73,lr:3.273933264871635e-050000
epoch:74,lr:3.2550675656197507e-05000
epoch:75,lr:3.236019467809286e-050000
epoch:76,lr:3.216791979355699e-050000
epoch:77,lr:3.197388136502308e-050000
epoch:78,lr:3.177811003340837e-050000
epoch:79,lr:3.158063671327557e-050000
epoch:80,lr:3.1381492587951104e-05000
epoch:81,lr:3.118070910460093e-050000
epoch:82,lr:3.0978317969264614e-05000
epoch:83,lr:3.077435114184863e-050000
epoch:84,lr:3.0568840831079455e-05000
epoch:85,lr:3.036181948941754e-050000
epoch:86,lr:3.0153319807932592e-05000
epoch:87,lr:2.994337471114132e-050000
epoch:88,lr:2.9732017351808276e-05000
epoch:89,lr:2.951928110571062e-050000
epoch:90,lr:2.930519956636773e-050000
epoch:91,lr:2.9089806539736384e-05000
epoch:92,lr:2.8873136038872404e-05000
epoch:93,lr:2.8655222278559595e-05000
epoch:94,lr:2.8436099669906853e-05000
epoch:95,lr:2.8215802814914228e-05000
epoch:96,lr:2.7994366501008883e-05000
epoch:97,lr:2.7771825695551766e-05000
epoch:98,lr:2.7548215540315828e-05000
epoch:99,lr:2.7323571345936747e-05000
epoch:100,lr:2.709792858633698e-050000
epoch:101,lr:2.6871322893124003e-05000
epoch:102,lr:2.664379004996366e-050000
epoch:103,lr:2.6415365986929548e-05000
epoch:104,lr:2.618608677482918e-050000
epoch:105,lr:2.595598861950804e-050000
epoch:106,lr:2.572510785613224e-050000
epoch:107,lr:2.5493480943450773e-05000
epoch:108,lr:2.5261144458038248e-05000
epoch:109,lr:2.5028135088519047e-05000
epoch:110,lr:2.479448962977374e-050000
epoch:111,lr:2.456024497712877e-050000
epoch:112,lr:2.432543812053025e-050000
epoch:113,lr:2.4090106138702795e-05000
epoch:114,lr:1.2352030302086815e-05000
epoch:115,lr:1.2240112616161745e-05000
epoch:116,lr:1.212799910207874e-050000
epoch:117,lr:1.2015707463861336e-05000
epoch:118,lr:1.1903255433660933e-05000
epoch:119,lr:1.179066076895669e-050000
epoch:120,lr:1.1677941249751396e-05000
epoch:121,lr:1.1565114675763823e-05000
epoch:122,lr:1.1452198863617927e-05000
epoch:123,lr:1.133921164402941e-050000
epoch:124,lr:1.1226170858990038e-05000
epoch:125,lr:1.1113094358950173e-05000
epoch:126,lr:1.1e-05000000000000000000
epoch:127,lr:1.0886905641049826e-05000
epoch:128,lr:1.0773829141009963e-05000
epoch:129,lr:1.0660788355970589e-05000
epoch:130,lr:1.0547801136382074e-05000
epoch:131,lr:1.0434885324236182e-05000
epoch:132,lr:1.0322058750248605e-05000
epoch:133,lr:1.020933923104331e-050000
epoch:134,lr:1.0096744566339066e-05000
epoch:135,lr:9.984292536138664e-060000
epoch:136,lr:9.872000897921262e-060000
epoch:137,lr:9.759887383838256e-060000
epoch:138,lr:9.647969697913185e-060000
epoch:139,lr:9.536265513246046e-060000
epoch:140,lr:9.424792469222515e-060000
epoch:141,lr:9.313568168728478e-060000
epoch:142,lr:9.202610175370338e-060000
epoch:143,lr:9.09193601070151e-0600000
epoch:144,lr:8.98156315145557e-0600000
epoch:145,lr:8.871509026786478e-060000
epoch:146,lr:8.761791015516309e-060000
epoch:147,lr:8.652426443390928e-060000
epoch:148,lr:8.543432580344073e-060000
epoch:149,lr:8.434826637770216e-060000
epoch:150,lr:8.326625765806686e-060000
epoch:151,lr:8.218847050625476e-060000
epoch:152,lr:8.111507511735117e-060000
epoch:153,lr:8.004624099293122e-060000
epoch:154,lr:7.898213691429348e-060000
epoch:155,lr:7.792293091580747e-060000
epoch:156,lr:7.686879025837902e-060000
epoch:157,lr:7.5819881403037945e-06000
epoch:158,lr:7.477636998465184e-060000
epoch:159,lr:7.373842078577036e-060000
epoch:160,lr:7.270619771060444e-060000
epoch:161,lr:7.167986375914347e-060000
epoch:162,lr:7.065958100141607e-060000
epoch:163,lr:6.964551055189713e-060000
epoch:164,lr:6.863781254406612e-060000
epoch:165,lr:6.763664610512011e-060000
epoch:166,lr:6.664216933084568e-060000
epoch:167,lr:6.5654539260653766e-06000
epoch:168,lr:6.467391185278156e-060000
epoch:169,lr:6.370044195966445e-060000
epoch:170,lr:6.2734283303483415e-06000
epoch:171,lr:6.177558845189036e-060000
epoch:172,lr:6.082450879391584e-060000
epoch:173,lr:5.988119451606307e-060000
epoch:174,lr:5.894579457859193e-060000
epoch:175,lr:5.801845669199593e-060000
